"isin","holder_lei"
"NO2892145588","529900SWYVP0QMM8S558"
"FI1327038136","5299007T18XBURKJ1V64"
"FI1327038136","549300MSY5NIVC0BME80"
"FI1327038136","529900C214QOT3ZYD838"
"FI1327038136","549300GJHKOASCB86D81"
"FI2841930177","529900VPJF35O5YAHQ53"
"FI2841930177","529900JMJSBZQ87VS279"
"FI2841930177","52990003MHKX55EOC266"
"FI2841930177","549300JDEB2OPC0A5F18"
"DE7687950275","549300TPJCLC0OHGM008"
"DE7687950275","5299005LMBRRMUC6RE06"
"DE7687950275","549300JTZWECUOC8CW13"
"DE7687950275","529900ST7CHA4EJJ5Y85"
"NO4611528428","529900OISRX6SR0HJP68"
"NO4611528428","529900S1RR1VXCC0X459"
"NO4611528428","391200ZZPVWSHS2QE753"
"NO4611528428","529900XGDXLEX5L16R90"
"SK4643824506","8EWQ2UQKS07AKK8ANH81"
"SK4643824506","529900FMHT3IDMYLAZ66"
"SK4643824506","529900DD5SKKGUNXWV81"
"SK4643824506","5493005CZJH1DM3UY563"
"SK7689045556","5493005CZJH1DM3UY563"
"SK7689045556","549300G81RQKP7XW2N18"
"SK7689045556","529900J4639KCHWRQL40"
"SK7689045556","549300UBIO330OYX3Y53"
"BG2206044618","529900XGX8IRUTDYO016"
"BG2206044618","529900R1CDB2JWCHM252"
"BG2206044618","5299003WG7KATU7TAB06"
"BG2206044618","529900TUNVSQFZ481607"
"LU6545668797","529900RODWQNN1GDC463"
"LU6545668797","549300LWRLCM6PDOWT06"
"LU6545668797","81560001A6084D9ACA86"
"LU6545668797","5299001W9PYB6TA79Z28"
"SE9179577797","529900L30NS8FOKXCQ03"
"SE9179577797","315700J8XIW0OKXNC270"
"SE9179577797","529900BS0K5H5X5S4796"
"SE9179577797","52990026WU4MWFA1P303"
"HU6125936366","529900AMYBX2GX3HE155"
"HU6125936366","529900UOHCIHB2SSXV67"
"HU6125936366","549300B6P0UZZLGKE796"
"HU6125936366","549300ZYVRX9U4H2G182"
"PT7072220148","2138003FL72FCO53LM68"
"PT7072220148","549300P5FQEW7DOYK240"
"PT7072220148","529900CYTFL4QPESXQ96"
"PT7072220148","5299006JRU7A099F8949"
"DK7606912190","529900H0Z3LEX11CQJ52"
"DK7606912190","529900GP2VK1XGLGOE50"
"DK7606912190","549300WVLFJHD8I4GY79"
"DK7606912190","529900WE0D9FIB4EQI28"
"IE1636181407","549300QLNL4I2WV7SD23"
"IE1636181407","529900WE0D9FIB4EQI28"
"IE1636181407","549300XXMXUO9TJN5940"
"IE1636181407","549300L70BS183Y6ML67"
"CY1658568445","5299000VMYT0UGXVZN87"
"CY1658568445","5299003SNCZ1JCMYTE71"
"CY1658568445","529900PLMCWKG4WW7813"
"CY1658568445","5299007NUHEK3805DE85"
"MT5604427332","529900KVW94VJZZKLS55"
"MT5604427332","549300FOQJLKUZUYXS78"
"MT5604427332","52990056GII2U9W13P53"
"MT5604427332","254900ZO3PU05KI42S82"
"UA8626007885","529900RC0O6Y0E636W87"
"UA8626007885","549300MXFSNRJMYFLM46"
"UA8626007885","315700U9KOZJ14MLJ486"
"UA8626007885","549300O1LRG9PS8TF186"
"IT3258683730","529900YDIT4SCCP1SY38"
"IT3258683730","213800CF4E69O3XA2112"
"IT3258683730","529900DKBIMRJI0XGY65"
"IT3258683730","5299003SNCZ1JCMYTE71"
"SE8315738938","549300EPNF8GU8VMJJ26"
"SE8315738938","81560001A6084D9ACA86"
"SE8315738938","529900WYFA4QVEYXU932"
"SE8315738938","549300VWGK6VDYE07K51"
"LT1699784597","5299002SRAEOQQ5YMZ55"
"LT1699784597","529900FIAMEJDQ8C9097"
"LT1699784597","5299007XMJKIQYA1QE53"
"LT1699784597","549300F7JG0KNKXWKZ08"
"HR5487055908","5493000YZPPFRVZ7PF37"
"HR5487055908","529900RRSFST343TZB58"
"HR5487055908","5493007QO5QAR13I3M16"
"HR5487055908","529900YZU9XKSWD2CJ83"
"NL1858034150","529900WYFA4QVEYXU932"
"NL1858034150","8156008BFE3F29A7B591"
"NL1858034150","529900J4FRDOS0H27O39"
"NL1858034150","254900AJ9I7L7UUYYU04"
"IT4337657284","254900BJQU6FV8FPQ152"
"IT4337657284","529900S5CWLHLLFODR80"
"IT4337657284","5299009OOAUJ6DWXPS94"
"IT4337657284","254900AJ9I7L7UUYYU04"
"LU5042138070","529900RF2834I0MC2L78"
"LU5042138070","213800XTQLSGGOGRX936"
"LU5042138070","335800KLB3BNLTXGOK06"
"LU5042138070","529900V89SIJN7DOX349"
"CA1910296774","529900LMTI8YSE62EI88"
"CA1910296774","529900DLWFR8HK7DR278"
"CA1910296774","5299005D6XBMEK9KLI47"
"CA1910296774","335800KLB3BNLTXGOK06"
"LV6428699971","549300RI7DPPJD4J3721"
"LV6428699971","5493000YZPPFRVZ7PF37"
"LV6428699971","529900CYRSQHASADDO34"
"LV6428699971","529900ZS8OVPXKLRNF83"
"NL6099364120","213800AW573JFTXL6946"
"NL6099364120","549300BSNZQC1S096092"
"NL6099364120","52990064A4W4C6COCM83"
"NL6099364120","21380012EA5RD6HRXS79"
"BY4699000218","529900NRU8XMPR3BIF43"
"BY4699000218","549300EF9ZLCS32PSN92"
"BY4699000218","5493002DZLHDQ5SJRQ41"
"BY4699000218","549300SX7LKM3752HG14"
"CA7265368415","529900JFVQC0P8BAQO25"
"CA7265368415","747800C0J0M91UBENZ19"
"CA7265368415","52990045Q7IO9Q9Y3M29"
"CA7265368415","549300TPFN3KKJB11W19"
"BE1845510032","529900SWZG9FZS4PPH60"
"BE1845510032","549300SX7LKM3752HG14"
"BE1845510032","549300LWRLCM6PDOWT06"
"BE1845510032","529900WE0D9FIB4EQI28"
"CA7453591791","529900WMBOJTFWCJ6Z71"
"CA7453591791","549300UM31PJ24TTSR94"
"CA7453591791","549300BSNZQC1S096092"
"CA7453591791","5493001JK5LQMHN8SL14"
"SK7025749212","529900CVJFHY7SC3IA84"
"SK7025749212","549300Y47GPQA88GE404"
"SK7025749212","529900Z8DN19BGSE6V76"
"SK7025749212","529900OISRX6SR0HJP68"
"CA6833326491","529900CQVDVATODQA941"
"CA6833326491","315700H9WMTTK29MHG75"
"CA6833326491","529900WHMCEWN274OT10"
"CA6833326491","635400PSMCTBZD9XNS47"
"FI4802525055","529900QC5I7V6HP3BP65"
"FI4802525055","097900BID40000148202"
"FI4802525055","529900BS0K5H5X5S4796"
"FI4802525055","529900XH9ODJ6HNC1W03"
"NL5053620941","5299007T18XBURKJ1V64"
"NL5053620941","529900ED9KS8PXXGV873"
"NL5053620941","254900QWU1BGP3Q0R988"
"NL5053620941","529900OWBLLW6WMCRM37"
"BE1392664410","213800CBOERFQH934Q10"
"BE1392664410","549300P1LHUDFRM6G143"
"BE1392664410","529900EHFBA8MNCV8M81"
"BE1392664410","253400UNEGHE8LX7H451"
"IT1325646798","529900HOV70V5IBRYZ19"
"IT1325646798","5299001ICGNKKWDL1557"
"IT1325646798","529900G4O4VLOG0B5168"
"IT1325646798","5299003VIYC2WWC2MC88"
"BG7702300937","54930093XEHLVNAP5I34"
"BG7702300937","529900RRSFST343TZB58"
"BG7702300937","529900FIAMEJDQ8C9097"
"BG7702300937","529900VELVP73ZAHIO43"
"FI3602619826","549300EXXKH0V10CGH02"
"FI3602619826","529900LHOWX8W5SFFF95"
"FI3602619826","254900BJQU6FV8FPQ152"
"FI3602619826","529900LK05HKEZ736735"
"CA3816804273","894500OT6WTEC44LN041"
"CA3816804273","549300K0QWI1YUM0XR14"
"CA3816804273","5493002DZLHDQ5SJRQ41"
"CA3816804273","5299001M8IZ7PBJR1Y18"
"US1272015848","5299001M8IZ7PBJR1Y18"
"US1272015848","529900LTSPTSG68IMO65"
"US1272015848","549300MUHUFNRRI19O72"
"US1272015848","254900DB28E4TYR5ZI32"
"DE8105895406","529900J4FRDOS0H27O39"
"DE8105895406","2138007VAW5DY3H8W892"
"DE8105895406","529900P6LJ5CGTIUNN89"
"DE8105895406","5299004IV5BVRG272A28"
"CA5968929421","5299000OKM8HRXP2ZL53"
"CA5968929421","52990064A4W4C6COCM83"
"CA5968929421","529900ICFDQRUNSXM915"
"CA5968929421","529900D4ER03Z4NCGT13"
"PL2530553608","98450076FE4A83A4F419"
"PL2530553608","635400WUHAXT8LPT9E02"
"PL2530553608","529900VE4DGRT7DYCV17"
"PL2530553608","529900M16K5ETQQEXE12"
"HU9907954587","529900VUBQY47LB3PV64"
"HU9907954587","549300QLB3B44URIM722"
"HU9907954587","529900VQTGY0OGZTCS62"
"HU9907954587","549300QXUC05PHJGB915"
"BE2612071580","529900C6342MV7MEQR46"
"BE2612071580","529900PLMCWKG4WW7813"
"BE2612071580","5493006DBSUPUBTAB556"
"BE2612071580","5493000XA8M1JTV4ZD64"
"BG8627577659","5299009KLCHHVQ1C0648"
"BG8627577659","549300IO7A3COKZLY481"
"BG8627577659","5493004UXU8N4332KP68"
"BG8627577659","529900WMBOJTFWCJ6Z71"
"HU9408545879","549300HZPMLS59IYHW02"
"HU9408545879","5493007R0TMUUHXERD78"
"HU9408545879","529900DLWFR8HK7DR278"
"HU9408545879","549300Y2X0LIF7TR8V70"
"RO5121085213","529900SWNRHN2PPD6X60"
"RO5121085213","5299007A3J9XYU46D740"
"RO5121085213","213800QILIUD4ROSUO03"
"RO5121085213","529900ZZJAQCYNWU7E47"
"NL5519316482","5299007CCQ08GGNCO102"
"NL5519316482","529900KRQNFT92BXR447"
"NL5519316482","5299007MD6I12CTKQM41"
"NL5519316482","549300XTY6LAIQSLES59"
"MK1553532805","52990053M7DZ6RC6OI62"
"MK1553532805","5299008B6YR6B0NVDR34"
"MK1553532805","549300XTY6LAIQSLES59"
"MK1553532805","5299002FS7MWCAJFYW17"
"NL9109479445","549300VVBIRW6VQJLS82"
"NL9109479445","529900A7Z0V6PFMTJP60"
"NL9109479445","529900QGJ9AHLS3PJ393"
"NL9109479445","549300IW10AMZJY6MT60"
"AT5608126877","549300JI2FC7PGJHP860"
"AT5608126877","529900KO608UPZKNW059"
"AT5608126877","529900BOQX6DDSGN9X64"
"AT5608126877","5299001N6TTST53P3690"
"CH5101242210","5493004NRK1XLI2A3K89"
"CH5101242210","549300QJXEB6PZF1P432"
"CH5101242210","52990056GII2U9W13P53"
"CH5101242210","529900KVU8W2OYJERL94"
"ES1575724954","529900NRU8XMPR3BIF43"
"ES1575724954","529900CYTFL4QPESXQ96"
"ES1575724954","529900VPPWZDVWS03302"
"ES1575724954","529900CAH1061V56SZ46"
"BG3927604261","549300RGT0JMDJZKVG34"
"BG3927604261","5493008EU8J8PL7Y5C92"
"BG3927604261","529900XL7PBQEL6AW973"
"BG3927604261","5299002X77REUXF48O72"
"NO2753142990","335800C1KV5TPG2GEX70"
"NO2753142990","529900KEKFXBWO7IN551"
"NO2753142990","529900FZ18K4CHUQAV85"
"NO2753142990","549300O2UN9JLME31F08"
"SI8892121707","549300OGMPCNFJUMJ659"
"SI8892121707","529900VW66KWYPYBWX02"
"SI8892121707","529900YKQVV2F80DI747"
"SI8892121707","549300MYFXTPIIXSNK50"
"HR6112280076","549300VVBIRW6VQJLS82"
"HR6112280076","254900ER2GAN3HN8T134"
"HR6112280076","549300P1BW0YOP2GMX46"
"HR6112280076","549300U0U0LWGZBKVE61"
"BY8465618345","529900H9ABDZ8XIMMV92"
"BY8465618345","5299002X77REUXF48O72"
"BY8465618345","529900X1YMA4ZKYHTN40"
"BY8465618345","549300DTNTPKNKGJ7P43"
"AT5689271832","5493000G3CNQTWPBZA31"
"AT5689271832","254900DDS53YGYIDLG57"
"AT5689271832","529900RORFAT7O737L93"
"AT5689271832","8156008F4B12928FDE93"
"IS6567720729","549300GKZ7ZVO2CI5U81"
"IS6567720729","2534006G7F7F1TFC9T77"
"IS6567720729","52990026WU4MWFA1P303"
"IS6567720729","529900FYAQ4PVMVXVF84"
"HU4140766371","5299008HZD0Y7UYHO939"
"HU4140766371","549300GJHKOASCB86D81"
"HU4140766371","529900SON3O699CD4728"
"HU4140766371","097900BID40000148202"
"MK8904683622","549300K3TK9076101D53"
"MK8904683622","529900KN6P7OQX84OC85"
"MK8904683622","529900LZC0DRQ7BS1A85"
"MK8904683622","549300M7R6X5LJOH0491"
"CH9922913581","549300H7FLAWMJ7WAI95"
"CH9922913581","5299005MQKIBQ14EIJ38"
"CH9922913581","213800TIAIHOYOOSDJ79"
"CH9922913581","5493003T9FC00681FQ76"
"BY9465437359","529900FO49LVGHYC4065"
"BY9465437359","5299004IV5BVRG272A28"
"BY9465437359","529900A0PRZXNZCC4O52"
"BY9465437359","815600F2507D2B946442"
"CZ8453294038","529900YQT7RAMTQ59G63"
"CZ8453294038","549300PSTW0LE1YMKN37"
"CZ8453294038","54930077ETU32ZIMU680"
"CZ8453294038","549300F5MGXJMIQJJT30"
"GB1338565876","529900QJ7JSKVLQ18G57"
"GB1338565876","529900SETJ7JMNI5AD78"
"GB1338565876","529900DGSQR7P9L7FM63"
"GB1338565876","2549009MHNXJR71JOV82"
"LU9456133800","52990047I84DVP5HEZ85"
"LU9456133800","549300Z8PET0HZ1GOT63"
"LU9456133800","529900OVSJWHY1FYLQ08"
"LU9456133800","549300F5MGXJMIQJJT30"
"HU1994568339","549300F5MGXJMIQJJT30"
"HU1994568339","529900MAE1EMLUE01896"
"HU1994568339","5299005NAKLU4RTUM275"
"HU1994568339","213800RGDNNVUWF1BJ07"
"BE1990215331","529900KMVAGFZ68CEJ78"
"BE1990215331","529900MVM385SYIIJA64"
"BE1990215331","Y28RT6GGYJ696PMW8T44"
"BE1990215331","549300IO7A3COKZLY481"
"NO9890275053","25490072EC3VZGVO9626"
"NO9890275053","254900WMVIZ77ZGIMS83"
"NO9890275053","213800AW573JFTXL6946"
"NO9890275053","549300Y8ATEY0VBM4W31"
"LV9541144670","5493007R0TMUUHXERD78"
"LV9541144670","529900MWGOF8PJ3ROR27"
"LV9541144670","529900S1RR1VXCC0X459"
"LV9541144670","6354002GQB7AOSJE3W69"
"CY9940422250","549300XBRBK4EN2W1S73"
"CY9940422250","254900CUBFX95CP20C14"
"CY9940422250","74780000A0SH8DY34831"
"CY9940422250","5299005404YKMA1T4086"
"BY2980281741","529900BVN6NPN8R4A847"
"BY2980281741","529900FIAMEJDQ8C9097"
"BY2980281741","5493007RFDH5H09ILU32"
"BY2980281741","529900CFOWM2V62I4634"
"IE8198398130","549300R357WFIUHYXQ97"
"IE8198398130","529900XH9ODJ6HNC1W03"
"IE8198398130","213800CBOERFQH934Q10"
"IE8198398130","52990022VR1G64LO5689"
"HR7667553950","549300OVVY2IW4A3M076"
"HR7667553950","529900AXGJDFXA1AGE58"
"HR7667553950","529900J0N5FYROZOL786"
"HR7667553950","2138005ADNXRIGY4SY85"
"GB9341655408","52990028YYXNOY4VCL59"
"GB9341655408","549300HIODNR3LRHFF34"
"GB9341655408","529900OT13W2RD3VUT30"
"GB9341655408","529900JRUMEIH0YZZB14"
"DE3301952200","549300JR63IQRTE0HQ66"
"DE3301952200","529900RYBZ653MBZSL75"
"DE3301952200","52990003MHKX55EOC266"
"DE3301952200","529900VP4MWYCP3LZM61"
"BY8234646523","549300H4CV43QCH4W570"
"BY8234646523","529900PP5INPXJG8JM22"
"BY8234646523","25940012WVMVS3G5WP26"
"BY8234646523","5493000A1VODC8HM2X72"
"HU9374574354","529900ITRKF4INUOKY17"
"HU9374574354","529900XFN4E5DO3EOC30"
"HU9374574354","529900KO608UPZKNW059"
"HU9374574354","5299003RMY6TOGE8F046"
"SE1186739730","549300MJOLZ1Y6N1RN58"
"SE1186739730","5299006MRMFYKKQU4A96"
"SE1186739730","529900LJ3ZRKEDU0CF57"
"SE1186739730","549300XMUXUL1EJN1237"
"IS4984772704","549300XMUXUL1EJN1237"
"IS4984772704","549300ZX1OABOSP3K616"
"IS4984772704","635400MNLW6ZCQNKAJ81"
"IS4984772704","549300EM43S0YRGIMU78"
"MT6686135599","213800RMAPKCXVCB3J34"
"MT6686135599","529900RO45LRDMWLRI57"
"MT6686135599","529900SMC415G939C384"
"MT6686135599","529900ILPIYOVR78UX93"
"LV2396966206","549300FCWICHOEZ1NI68"
"LV2396966206","254900WJJF84AQA4EN11"
"LV2396966206","549300BW0T0VJZ8YT598"
"LV2396966206","81560007E889FA36A917"
"HR1975117293","529900KCLVX8UHHD6M83"
"HR1975117293","529900DUU6C9O13MAC66"
"HR1975117293","549300SIEM0JP6QEKZ04"
"HR1975117293","529900LTSPTSG68IMO65"
"FR1976513896","5299000ALLPGKHTTUV74"
"FR1976513896","529900J4FRDOS0H27O39"
"FR1976513896","5493001V0ITTX5DZPE20"
"FR1976513896","529900PJJFVT0F724I14"
"HU8911996083","529900LMTI8YSE62EI88"
"HU8911996083","5299005LAFRILI4X6N79"
"HU8911996083","21380012EA5RD6HRXS79"
"HU8911996083","254900H8N4OIT9RZGU93"
"BY7376023286","5299003L7YAXHP6Z7T75"
"BY7376023286","5299000VMYT0UGXVZN87"
"BY7376023286","5493009H72X8TTX98V31"
"BY7376023286","5299005GOY3TFCTOQB47"
"LU4038002992","529900VQTGY0OGZTCS62"
"LU4038002992","549300MC7DDO39OJ7F04"
"LU4038002992","254900PYMROTF0EIBD45"
"LU4038002992","5299005KUSNDWVGO8E69"
"IS3102193563","549300JR63IQRTE0HQ66"
"IS3102193563","5299003A4YELZSL89054"
"IS3102193563","529900P0UUJHBJF0A066"
"IS3102193563","5299000AF58N6DVTY088"
"DE5962340366","529900K3CBIIFX4H8G15"
"DE5962340366","529900MJYYIRXZ9YCT59"
"DE5962340366","529900EPV95P6S515H56"
"DE5962340366","529900KE29GOXDMG0S67"
"CY2675716926","529900J0N5FYROZOL786"
"CY2675716926","52990090ZUP0P6NRBU17"
"CY2675716926","529900QPGSA3S6ZLS208"
"CY2675716926","5299002FS7MWCAJFYW17"
"RS9850326002","213800YKLUR8Q7YAID35"
"RS9850326002","529900TDVWJDF9M5TS35"
"RS9850326002","5493006VU2HFXGSBFT75"
"RS9850326002","529900VW66KWYPYBWX02"
"RS8333899668","529900DTQJ1MSKEYNF35"
"RS8333899668","529900A5TAKNCSD2LP56"
"RS8333899668","254900BJQU6FV8FPQ152"
"RS8333899668","5493004P365T6WOJNR46"
"BE1367573008","5493000A1VODC8HM2X72"
"BE1367573008","54930011088BWM62XI45"
"BE1367573008","529900MFF1MAR76ZVV77"
"BE1367573008","529900YKQVV2F80DI747"
"FI9981061581","213800SHXQDJL238HV25"
"FI9981061581","529900YBCHPCBU0CBV03"
"FI9981061581","529900U6IYYUDUULIX86"
"FI9981061581","529900QJ7JSKVLQ18G57"
"GB2415358183","52990070XL8QPES0SM31"
"GB2415358183","529900JFVQC0P8BAQO25"
"GB2415358183","529900XW0MDD0HF0VN23"
"GB2415358183","315700U9KOZJ14MLJ486"
"HU8944577846","549300LWRLCM6PDOWT06"
"HU8944577846","549300JMVCPEO24OMS31"
"HU8944577846","529900J4639KCHWRQL40"
"HU8944577846","52990001O0THU00TYK59"
"SE6021217912","52990022VR1G64LO5689"
"SE6021217912","529900OSZ0ZQI95BZO12"
"SE6021217912","5299000AF58N6DVTY088"
"SE6021217912","254900ZV4OHO6HVJQQ25"
"DK7560739844","549300KRHG5GM7DXKE41"
"DK7560739844","254900DB28E4TYR5ZI32"
"DK7560739844","5493004P365T6WOJNR46"
"DK7560739844","2221001BQYKCFUQGX885"
"BG7118451648","213800QQ82Y1KCPQIC86"
"BG7118451648","529900UPLYF0ICC0OI44"
"BG7118451648","529900QCKZM6WSIFQN07"
"BG7118451648","21380012EA5RD6HRXS79"
"MT9180468656","5299005C3ALN0FW10R56"
"MT9180468656","549300WZK231NAUFI045"
"MT9180468656","213800DW1L62N1BADM49"
"MT9180468656","213800U2NC79HDGLZN36"
"LU8053605961","529900Z07G6XJU1QOH63"
"LU8053605961","254900BZBEFAFBP7W941"
"LU8053605961","5493006VU2HFXGSBFT75"
"LU8053605961","529900WHMCEWN274OT10"
"AL5336762495","529900VE4DGRT7DYCV17"
"AL5336762495","549300YD2C3QFXNLSX70"
"AL5336762495","549300GSRCQZCOFL8672"
"AL5336762495","213800AV41W7VFZ1D131"
"BE5874720766","549300MINO4CSLQEZY39"
"BE5874720766","529900W3X0FP5PHQGK42"
"BE5874720766","529900SVXK7QBUFV0M35"
"BE5874720766","213800CGWUEIX6ZHBX50"
"IS9311834183","254900BJQU6FV8FPQ152"
"IS9311834183","549300R4FNKEIE8UY208"
"IS9311834183","549300XTY6LAIQSLES59"
"IS9311834183","2138003P1XRZQRXLIT42"
"IS6108091262","5299003SNCZ1JCMYTE71"
"IS6108091262","529900MEY9ARGNPPPE18"
"IS6108091262","549300J6YMCJ7SQIN765"
"IS6108091262","21380056OKZR5M1PTT56"
"PT3372474622","529900F61J2XA3NK9979"
"PT3372474622","529900Q6P4NPT9JGOH02"
"PT3372474622","254900H8N4OIT9RZGU93"
"PT3372474622","2138007VAW5DY3H8W892"
"MK4586895672","529900MFF1MAR76ZVV77"
"MK4586895672","529900HNLCDM7X1RJ063"
"MK4586895672","549300DVX8CW8OWD1369"
"MK4586895672","635400OT6WWQD5UURP98"
"BE1726753663","549300JI2FC7PGJHP860"
"BE1726753663","529900K871A6JWHK6Z45"
"BE1726753663","529900KICPL7I3LLP264"
"BE1726753663","549300U0U0LWGZBKVE61"
"RS3254441186","5493003X2PANQ4S0EH05"
"RS3254441186","549300MUQ879J0U1DY38"
"RS3254441186","549300OE23SIZ7E43C78"
"RS3254441186","549300A3K0DM0UWTAQ37"
"RS3048325501","2534008T9TCKSJHXMX83"
"RS3048325501","549300OE23SIZ7E43C78"
"RS3048325501","54930040NVHI566OSB56"
"RS3048325501","529900WOBKOYZGX93J24"
"ES8928963412","549300G81RQKP7XW2N18"
"ES8928963412","529900ST7CHA4EJJ5Y85"
"ES8928963412","213800D3OXAL3N7T1S19"
"ES8928963412","5493001JK5LQMHN8SL14"
"IE5761140600","529900125QMP3CVGD297"
"IE5761140600","529900ILV3IRTU21O880"
"IE5761140600","549300YD2C3QFXNLSX70"
"IE5761140600","529900Q6P4NPT9JGOH02"
"HU3261547744","529900NLN09OGDQ8SP33"
"HU3261547744","5493008M0U92PEH43O65"
"HU3261547744","549300GUQK2RPMND7R49"
"HU3261547744","529900W747T39A8BLD28"
"AT1779410397","529900FZ18K4CHUQAV85"
"AT1779410397","549300O1LRG9PS8TF186"
"AT1779410397","549300OVO8MRA4KTCJ44"
"AT1779410397","529900YU74RHC7QYS662"
"NO5233066294","549300Z2UVWOX086RH29"
"NO5233066294","213800VWNVQTFDNC6D33"
"NO5233066294","529900EHFBA8MNCV8M81"
"NO5233066294","529900DF15DT6MUTOS08"
"DE3473452194","5493009N0J5CNP5J5347"
"DE3473452194","549300F5MGXJMIQJJT30"
"DE3473452194","529900HTTKWH3JNK9335"
"DE3473452194","2138005ADNXRIGY4SY85"
"LT4860087288","335800C1KV5TPG2GEX70"
"LT4860087288","529900JRUMEIH0YZZB14"
"LT4860087288","529900EYYGOCP4180B15"
"LT4860087288","254900DB28E4TYR5ZI32"
"BE7825138992","549300XJNWG0Q07SE896"
"BE7825138992","549300U0U0LWGZBKVE61"
"BE7825138992","549300EXXKH0V10CGH02"
"BE7825138992","529900EHFBA8MNCV8M81"
"FR7094912512","213800IT91XM3CMQQP75"
"FR7094912512","254900QVFOLJVWB2HH59"
"FR7094912512","213800HQ3SEC4XDRMW78"
"FR7094912512","529900F895EWIYOGOY61"
"LV5369576689","529900ETVH54K2OIRO19"
"LV5369576689","529900GOHDG5JKIJXT78"
"LV5369576689","5493007UJW4N82PLDU29"
"LV5369576689","5493005EB366SL4UE309"
"MK8783063039","529900ANJHT613JW8B30"
"MK8783063039","529900VKMC4KQXRCWQ85"
"MK8783063039","25940012WVMVS3G5WP26"
"MK8783063039","54930059AYBFBM5Y2L55"
"HR6473820270","529900QCKZM6WSIFQN07"
"HR6473820270","529900Z5WR87JYQQKY21"
"HR6473820270","5493002Z1PPD26D0QT04"
"HR6473820270","549300CGLRBLXD8PLZ18"
"AT5100210049","5493006VU2HFXGSBFT75"
"AT5100210049","5299000VMYT0UGXVZN87"
"AT5100210049","5493006CQEEGKM6L5T06"
"AT5100210049","529900CAH1061V56SZ46"
"LV6157962207","549300UBIO330OYX3Y53"
"LV6157962207","5299000CUYVLZQNV7822"
"LV6157962207","529900OX0YBNOOXHER14"
"LV6157962207","529900ED9KS8PXXGV873"
"AT7957876731","097900BFBW0000007583"
"AT7957876731","529900VKMC4KQXRCWQ85"
"AT7957876731","529900G9Z4I79FGUE649"
"AT7957876731","52990069HXCX7EFYPA20"
"SE7387943866","5493006LHHR4CLPX4Q79"
"SE7387943866","5299001FKJ6Q6AQMU144"
"SE7387943866","3157007C98ILJK5ST356"
"SE7387943866","529900V89SIJN7DOX349"
"GR7253418549","549300JI2FC7PGJHP860"
"GR7253418549","81560084D60FE553FF12"
"GR7253418549","315700ZQ6Y5JR4KAQ888"
"GR7253418549","529900DF15DT6MUTOS08"
"RS1651809418","549300SX7LKM3752HG14"
"RS1651809418","5299002SRAEOQQ5YMZ55"
"RS1651809418","529900LNPBJZ4ZZB2G60"
"RS1651809418","529900UKTXP0UD6IGX72"
"AL1255689038","529900U6IYYUDUULIX86"
"AL1255689038","254900BZBEFAFBP7W941"
"AL1255689038","54930040NVHI566OSB56"
"AL1255689038","5299003RWHA2ZD5T0R33"
"MK3067969981","5299008B6YR6B0NVDR34"
"MK3067969981","529900PLMCWKG4WW7813"
"MK3067969981","529900ALO5QOEB2LEB63"
